Date,Price
2021-06-23 21:21:00,33160.017276
2021-06-23 21:22:00,33178.945574
2021-06-23 21:22:00,33182.037762
2021-06-23 21:23:00,33199.423468
2021-06-23 21:23:00,33211.856223
2021-06-23 21:24:00,33212.003091
2021-06-23 21:24:00,33218.584916
2021-06-23 21:25:00,33222.351781
2021-06-23 21:25:00,33228.285226
2021-06-23 21:26:00,33257.633031
2021-06-23 21:26:00,33301.032382
2021-06-23 21:27:00,33351.262606
2021-06-23 21:28:00,33368.851715
2021-06-23 21:28:00,33379.974824
2021-06-23 21:28:00,33386.260877
2021-06-23 21:29:00,33380.771303
2021-06-23 21:29:00,33363.609408
2021-06-23 21:30:00,33395.227305
2021-06-23 21:31:00,33408.114757
2021-06-23 21:31:00,33441.388542
2021-06-23 21:32:00,33462.392826
2021-06-23 21:32:00,33463.446142
2021-06-23 21:33:00,33459.397426
2021-06-23 21:33:00,33457.600109
2021-06-23 21:34:00,33444.436388
2021-06-23 21:34:00,33434.119166
2021-06-23 21:34:00,33434.119166
2021-06-23 21:34:00,33434.119166
2021-06-23 21:34:00,33434.119166
2021-06-23 21:35:00,33427.792674
2021-06-23 21:37:00,33512.913186
2021-06-23 21:37:00,33512.913186
2021-06-23 21:37:00,33512.913186
2021-06-23 21:37:00,33512.913186
2021-06-23 21:39:00,33509.176495
2021-06-23 21:40:00,33488.966655
2021-06-23 21:40:00,33473.228103
2021-06-23 21:41:00,33468.302614
2021-06-23 21:41:00,33468.302614
2021-06-23 21:41:00,33468.302614
2021-06-23 21:42:00,33459.077618
2021-06-23 21:43:00,33468.56297
2021-06-23 21:43:00,33474.065403
2021-06-23 21:44:00,33490.918154
2021-06-23 21:44:00,33499.427659
2021-06-23 21:45:00,33491.385917
2021-06-23 21:46:00,33466.280739
2021-06-23 21:46:00,33429.932512
2021-06-23 21:47:00,33411.801364
2021-06-23 21:47:00,33410.068087
2021-06-23 21:48:00,33402.791925
2021-06-23 21:48:00,33404.352185
2021-06-23 21:49:00,33386.001576
2021-06-23 21:49:00,33380.440965
2021-06-23 21:49:00,33353.841645
2021-06-23 21:50:00,33334.161627
2021-06-23 21:50:00,33321.623911
2021-06-23 21:51:00,33328.039345
2021-06-23 21:52:00,33346.321141
2021-06-23 21:52:00,33375.358918
2021-06-23 21:53:00,33381.337626
2021-06-23 21:53:00,33368.900836
2021-06-23 21:54:00,33367.816377
2021-06-23 21:54:00,33360.466851
2021-06-23 21:55:00,33371.450766
2021-06-23 21:55:00,33387.392405
2021-06-23 21:56:00,33398.027867
2021-06-23 21:56:00,33433.26717
2021-06-23 21:57:00,33436.094363
2021-06-23 21:58:00,33411.493869
2021-06-23 21:58:00,33408.067763
2021-06-23 21:58:00,33400.28986
2021-06-23 21:58:00,33400.28986
2021-06-23 21:58:00,33391.007594
2021-06-23 22:00:00,33334.377788
2021-06-23 22:00:00,33366.74399
2021-06-23 22:01:00,33368.674921
2021-06-23 22:01:00,33373.057405
2021-06-23 22:02:00,33381.217229
2021-06-23 22:02:00,33390.360528
2021-06-23 22:03:00,33396.857542
2021-06-23 22:03:00,33402.462767
2021-06-23 22:04:00,33406.745301
2021-06-23 22:04:00,33418.007369
2021-06-23 22:05:00,33441.628535
2021-06-23 22:05:00,33454.756805
