date,predicted_trend,actual_trend,predicted_rate,actual_rate
2021-06-20 18:04:01,Down,Up,0.011358,0.000314
2021-06-20 18:05:01,Down,Down,0.01054,7e-06
2021-06-20 18:07:01,Down,Down,0.01636,2.7e-05
2021-06-20 18:08:01,Up,Down,0.00802,3.3e-05
2021-06-20 18:09:01,Down,Up,0.023029,0.000148
2021-06-20 18:10:01,Up,Up,0.034092,7.8e-05
2021-06-20 18:11:01,Up,Up,0.011494,0.000859
2021-06-20 18:13:01,Down,Up,0.001669,0.000135
2021-06-20 18:15:01,Down,Up,0.003154,0.000339
2021-06-20 18:17:01,Down,Up,0.015691,0.000391
2021-06-20 18:18:01,Up,Up,0.001356,0.00087
2021-06-20 18:19:01,Down,Up,0.000513,0.000317
2021-06-20 18:20:01,Down,Up,0.000121,0.000209
2021-06-20 18:21:01,Up,Down,0.01162,2.4e-05
2021-06-20 18:22:01,Up,Down,0.002125,0.00073
2021-06-20 18:23:01,Down,Up,0.006546,0.000212
2021-06-20 18:24:01,Down,Down,0.011677,0.000274
2021-06-20 18:25:01,Up,Down,0.020337,0.000485
2021-06-20 18:27:01,Up,Up,0.011778,0.000377
2021-06-20 18:29:01,Down,Up,0.004811,0.000174
2021-06-20 18:31:01,Down,Down,0.00942,0.000579
2021-06-20 18:33:01,Up,Up,0.00148,0.0
2021-06-20 18:33:26,Up,Up,0.017528,0.0
2021-06-20 18:34:01,Up,Up,0.018107,0.000283
2021-06-20 18:35:01,Down,Up,0.013075,0.001151
2021-06-20 18:36:01,Up,Down,0.012411,4.2e-05
2021-06-20 18:37:01,Up,Up,0.006815,0.000598
2021-06-20 18:39:01,Down,Down,0.003899,0.001273
2021-06-20 18:41:01,Up,Down,0.010679,0.00034
2021-06-20 18:43:01,Down,Down,0.008656,0.000677
2021-06-20 18:44:01,Up,Down,0.007354,0.000624
2021-06-20 18:45:01,Up,Down,0.006794,0.000113
2021-06-20 18:46:01,Up,Up,0.018217,2.9e-05
2021-06-20 18:47:07,Down,Up,0.002422,0.0
2021-06-20 18:48:08,Up,Up,0.000883,0.0
2021-06-20 18:48:31,Down,Up,0.002386,0.0
2021-06-20 18:48:53,Down,Up,0.008372,0.0
2021-06-20 18:50:01,Up,Down,0.01811,0.000904
2021-06-20 18:50:23,Up,Up,0.002788,0.0
2021-06-20 18:51:01,Up,Down,0.009399,0.000118
2021-06-20 18:52:01,Down,Down,0.002276,0.000105
2021-06-20 18:53:46,Down,Up,0.011681,0.0
2021-06-20 18:54:47,Down,Up,0.010686,0.0
2021-06-20 18:55:27,Down,Up,0.007946,0.0
2021-06-20 18:56:01,Down,Up,0.011513,1.4e-05
2021-06-20 18:57:01,Down,Up,0.036551,4.2e-05
2021-06-20 18:58:01,Down,Up,0.003155,0.000207
2021-06-20 18:59:01,Down,Up,0.012792,0.00045
2021-06-20 19:01:01,Down,Down,0.008291,0.000157
2021-06-20 19:01:24,Down,Up,0.001163,0.0
2021-06-20 19:02:09,Up,Up,0.014931,0.0
2021-06-20 19:03:01,Up,Down,0.005377,0.000486
2021-06-20 19:05:01,Down,Up,0.001513,0.000107
2021-06-20 19:06:01,Down,Up,0.003233,0.000896
2021-06-20 19:07:01,Up,Up,0.008079,0.000989
2021-06-20 19:08:01,Up,Down,0.024243,0.000128
2021-06-20 19:09:01,Up,Up,0.014081,0.000571
2021-06-20 19:10:01,Up,Down,0.009399,0.000113
2021-06-20 19:11:01,Down,Up,0.015863,0.000684
2021-06-20 19:12:01,Down,Up,0.022466,0.000205
2021-06-20 19:13:01,Down,Up,0.004496,7.7e-05
2021-06-20 19:16:01,Down,Down,0.001105,0.000529
2021-06-20 19:17:01,Up,Down,0.007856,5e-05
2021-06-20 19:18:01,Up,Up,0.006677,0.000225
2021-06-20 19:19:47,Down,Up,0.000834,0.0
2021-06-20 19:20:08,Down,Up,0.002833,0.0
2021-06-20 19:20:29,Down,Up,0.014884,0.0
2021-06-20 19:20:48,Down,Up,0.01083,0.0
2021-06-20 19:21:07,Up,Up,0.008413,0.0
2021-06-20 19:21:46,Up,Up,0.000954,0.0
2021-06-20 19:22:49,Up,Up,0.020911,0.0
2021-06-20 19:24:01,Down,Down,0.009087,0.000227
2021-06-20 19:26:01,Down,Up,0.007731,0.001159
2021-06-20 19:28:01,Up,Down,0.00237,0.00093
2021-06-20 19:29:01,Down,Up,0.010206,0.000106
2021-06-20 19:30:01,Up,Up,0.00892,0.000359
2021-06-20 19:31:01,Up,Up,0.006385,1.7e-05
2021-06-20 19:32:01,Down,Down,0.005839,0.000249
2021-06-20 19:33:01,Down,Down,0.012503,0.000227
2021-06-20 19:34:01,Up,Up,0.013567,0.000405
2021-06-20 19:36:01,Up,Down,0.0084,3.2e-05
2021-06-20 19:39:01,Up,Down,0.005056,0.000513
2021-06-20 19:41:01,Down,Up,0.016481,0.000109
2021-06-20 19:42:01,Up,Up,0.096541,0.000664
2021-06-20 19:43:01,Down,Down,0.00492,0.000178
2021-06-20 19:45:01,Down,Up,0.001809,8.7e-05
2021-06-20 19:47:01,Up,Down,0.002625,0.000187
