date,predicted_trend,actual_trend,predicted_rate,actual_rate
2021-06-20 14:55:01,Down,Up,0.010799,0.0

2021-06-20 14:55:19,Down,Up,0.012811,0.0

2021-06-20 14:55:37,Down,Up,0.028681,0.0

2021-06-20 14:55:56,Up,Up,0.099071,0.0

2021-06-20 14:56:15,Down,Up,0.016614,0.0

2021-06-20 14:56:34,Up,Up,0.011352,0.0

2021-06-20 14:56:54,Up,Up,0.008734,0.0

2021-06-20 14:57:11,Up,Up,0.003826,0.0

2021-06-20 14:57:33,Down,Up,0.003472,0.0

2021-06-20 14:58:13,Up,Up,0.018535,0.0
