date,predicted_trend,actual_trend,predicted_rate,actual_rate
2021-06-18 21:23:01,Down,Down,0.011118,0.000125

2021-06-18 21:25:01,Up,Down,0.016264,6.5e-05

2021-06-18 21:27:01,Down,Down,0.005674,0.00077

2021-06-18 21:29:01,Up,Down,0.023027,0.003809

2021-06-18 21:31:01,Down,Up,0.024142,0.002475

2021-06-18 21:33:01,Up,Down,0.001235,0.001832

2021-06-18 21:35:01,Down,Up,0.017937,0.001124

2021-06-18 21:37:01,Up,Up,2e-06,0.001841

2021-06-18 21:39:01,Up,Down,0.000518,0.002547

2021-06-18 21:42:01,Down,Up,0.024977,0.001716

2021-06-18 21:44:01,Up,Down,0.006891,0.000592

2021-06-18 21:47:01,Down,Up,0.001516,0.003374

2021-06-18 21:49:01,Up,Down,0.022124,0.000438

2021-06-18 21:51:01,Up,Up,0.009305,0.000731

2021-06-18 21:54:01,Down,Down,0.023592,0.003603

2021-06-18 21:55:01,Down,Down,0.005259,0.000468

2021-06-18 21:58:01,Up,Down,0.009276,0.0001

2021-06-18 21:59:01,Up,Up,0.000725,0.000138

2021-06-18 22:01:01,Down,Up,0.019505,0.001655

2021-06-18 22:02:00,Up,Up,0.003407,1e-06

2021-06-18 22:04:01,Up,Down,0.019162,0.000809

2021-06-18 22:06:01,Down,Up,0.003809,0.000956

2021-06-18 22:08:01,Up,Down,0.009973,6e-06

2021-06-18 22:10:01,Up,Down,0.001058,0.000157

2021-06-18 22:12:01,Up,Down,0.010579,0.00219

2021-06-18 22:14:01,Down,Up,0.00228,0.000516

2021-06-18 22:16:01,Down,Up,0.000889,0.004153

2021-06-18 22:18:01,Down,Down,0.004162,0.001174

2021-06-18 22:20:01,Up,Down,0.009302,0.004798

2021-06-18 22:21:01,Down,Up,0.009609,1e-06

2021-06-18 22:21:56,Up,Down,0.012415,7.5e-05

2021-06-18 22:22:54,Up,Down,0.018144,4.9e-05

2021-06-18 22:23:51,Up,Up,0.005268,8.4e-05

2021-06-18 22:24:46,Up,Down,0.00319,8e-05

2021-06-18 22:27:01,Down,Up,0.003579,0.000617

2021-06-18 22:29:01,Down,Down,0.004851,9e-05

2021-06-18 22:31:01,Down,Up,0.009713,0.000958

2021-06-18 22:32:01,Down,Up,0.004621,0.000351

2021-06-18 22:32:57,Up,Down,0.014117,8e-06

2021-06-18 22:35:01,Down,Down,0.029755,8.5e-05

2021-06-18 22:37:01,Down,Down,0.009438,0.000591

2021-06-18 22:39:01,Down,Down,0.005013,0.001398

2021-06-18 22:41:01,Down,Down,0.007587,6.9e-05

2021-06-18 22:42:01,Down,Down,0.005336,0.000214

2021-06-18 22:44:01,Up,Down,0.014293,0.000576

2021-06-18 22:46:01,Up,Down,0.009519,0.001513

2021-06-18 22:48:01,Down,Down,0.008456,0.000289

2021-06-18 22:50:01,Down,Up,0.003623,0.000762

2021-06-18 22:52:01,Down,Up,0.014375,0.000165

2021-06-18 22:54:01,Down,Down,0.01748,0.000901

2021-06-18 22:56:01,Up,Down,0.008749,0.000177

2021-06-18 22:58:01,Down,Up,0.002592,0.000297

2021-06-18 23:00:01,Down,Down,0.010682,0.00233

2021-06-18 23:02:01,Down,Down,0.002614,0.001709

2021-06-18 23:05:01,Down,Up,0.01318,0.002401

2021-06-18 23:07:01,Down,Down,0.005459,0.001334

2021-06-18 23:09:01,Down,Up,0.035539,0.001334

2021-06-18 23:11:01,Down,Down,0.008899,0.000672

2021-06-18 23:14:01,Down,Up,0.002688,0.001262

2021-06-18 23:17:01,Down,Up,0.022029,0.001333

2021-06-18 23:19:01,Up,Up,0.009051,0.000717

2021-06-18 23:21:01,Down,Up,0.011437,0.000186

2021-06-18 23:23:01,Up,Down,0.025399,0.000208

2021-06-18 23:26:01,Down,Down,0.011223,0.001962

2021-06-18 23:29:01,Down,Down,0.009459,0.000955

2021-06-18 23:31:01,Down,Down,0.009175,0.001942

2021-06-18 23:33:01,Down,Down,0.018388,0.000492

2021-06-18 23:35:01,Down,Down,0.00674,0.001573

2021-06-18 23:36:01,Up,Down,0.004257,0.000296

2021-06-18 23:36:55,Up,Up,0.020375,4.3e-05

2021-06-18 23:39:01,Up,Up,0.000543,0.00151

2021-06-18 23:41:01,Down,Up,0.034051,0.001169

2021-06-18 23:42:01,Up,Down,0.005495,0.000284

2021-06-18 23:44:01,Down,Down,0.008008,0.000372

2021-06-18 23:46:01,Down,Down,0.004166,0.000775

2021-06-18 23:48:01,Up,Up,0.000702,0.00116

2021-06-18 23:50:01,Up,Down,0.009471,0.000114

2021-06-18 23:51:01,Up,Up,0.033008,0.000121

2021-06-18 23:52:01,Up,Down,0.020865,1.7e-05

2021-06-18 23:54:01,Down,Up,0.005207,0.001286

2021-06-18 23:56:01,Up,Up,0.012072,0.00097

2021-06-18 23:58:01,Down,Down,0.006224,0.000798

2021-06-19 00:00:01,Down,Up,0.000189,0.000356

2021-06-19 00:02:01,Down,Up,0.004832,0.001621

2021-06-19 00:04:01,Down,Up,0.009575,0.001153

2021-06-19 00:06:01,Down,Up,0.006111,0.000827

2021-06-19 00:07:01,Up,Up,0.017257,0.000183

2021-06-19 00:08:01,Down,Down,0.017896,0.000355

2021-06-19 00:09:01,Down,Down,0.012255,0.000157

2021-06-19 00:10:01,Up,Up,0.024688,1.7e-05

2021-06-19 00:10:57,Down,Up,0.033406,1e-06

2021-06-19 00:13:01,Up,Up,0.016167,0.000241

2021-06-19 00:14:01,Up,Down,0.023194,1.3e-05

2021-06-19 00:16:01,Down,Down,0.001498,0.001227

2021-06-19 00:18:01,Down,Up,0.010895,0.000135

2021-06-19 00:20:01,Up,Down,0.01233,0.001658

2021-06-19 00:21:01,Up,Up,0.001971,0.000197

2021-06-19 00:23:01,Down,Up,0.009549,3.2e-05

2021-06-19 00:25:01,Down,Down,0.016474,0.001923

2021-06-19 00:27:01,Up,Down,0.004791,0.000345

2021-06-19 00:29:01,Up,Up,0.015362,0.000938

2021-06-19 00:31:01,Down,Up,0.002357,0.001252

2021-06-19 00:33:01,Up,Down,0.008949,0.001828

2021-06-19 00:36:01,Down,Up,0.017651,0.001445

2021-06-19 00:38:01,Down,Up,0.012453,0.000594

2021-06-19 00:40:01,Up,Down,0.004103,0.000973

2021-06-19 00:43:01,Down,Down,0.004137,0.000487

2021-06-19 00:46:01,Down,Down,0.006271,5.5e-05

2021-06-19 00:49:01,Up,Down,0.01893,0.000856

2021-06-19 00:52:01,Down,Down,0.003079,0.000232

2021-06-19 00:54:01,Up,Up,0.021544,0.001043

2021-06-19 00:56:01,Up,Down,0.013163,0.00044

2021-06-19 00:57:01,Down,Down,0.063399,0.000392

2021-06-19 00:58:01,Up,Up,0.011257,2.3e-05

2021-06-19 00:59:01,Up,Up,0.003575,0.000216

2021-06-19 01:01:01,Down,Down,0.002127,0.00162

2021-06-19 01:03:01,Up,Down,0.00944,4.5e-05

2021-06-19 01:05:01,Up,Down,0.019393,0.000379

2021-06-19 01:07:01,Up,Up,0.000902,9e-06

2021-06-19 01:08:01,Down,Up,0.025508,0.000157

2021-06-19 01:08:55,Down,Down,0.01427,4.3e-05

2021-06-19 01:11:01,Down,Down,0.001313,0.000307

2021-06-19 01:13:01,Down,Up,0.005586,0.001701

2021-06-19 01:15:01,Up,Down,0.002451,0.000186

2021-06-19 01:17:01,Up,Down,0.01367,0.000255

2021-06-19 01:19:01,Up,Up,0.023163,0.000823

2021-06-19 01:21:01,Down,Down,0.009087,0.000564

2021-06-19 01:23:01,Down,Up,0.012112,6.9e-05

2021-06-19 01:25:01,Up,Down,0.000263,0.000869

2021-06-19 01:27:01,Up,Up,0.017952,0.000523

2021-06-19 01:28:01,Down,Up,0.008585,6e-06

2021-06-19 01:30:01,Down,Down,0.001498,0.000171

2021-06-19 01:32:01,Up,Up,0.025591,0.000891

2021-06-19 01:34:01,Down,Down,0.007209,0.001085

2021-06-19 01:36:01,Up,Up,0.006304,0.000661

2021-06-19 01:37:01,Up,Up,0.002582,0.000233

2021-06-19 01:39:01,Up,Down,0.006491,0.00107

2021-06-19 01:41:01,Down,Up,0.022958,0.000513

2021-06-19 01:43:01,Up,Up,0.003459,0.000515

2021-06-19 01:45:01,Up,Down,0.006882,0.000268

2021-06-19 01:47:01,Down,Up,0.035127,0.000225

2021-06-19 01:49:01,Down,Down,0.009732,0.000339

2021-06-19 01:51:01,Down,Up,0.025168,0.000395

2021-06-19 01:53:01,Down,Up,0.005198,0.000164

2021-06-19 01:55:01,Down,Up,0.006854,0.001593

