price,timestamp,volume

38799.812366,1623933840,38679807581.949997

38799.892426,1623933840,38679807581.949997

38799.493168,1623933960,38679807581.949997

38799.516478,1623933960,38679807581.949997

38800.029381,1623934020,38679807581.949997

38804.295193,1623934080,38679807581.949997

38806.129906,1623934080,38679807581.949997

38808.286109,1623934140,38679807581.949997

38810.320978,1623934140,38679807581.949997

38814.357191,1623934200,38679807581.949997

38819.462671,1623934200,38679807581.949997

38827.874273,1623934260,38679807581.949997

38835.723632,1623934260,38679807581.949997

38841.074112,1623934320,38679807581.949997

38858.164747,1623934320,38679807581.949997

38862.145029,1623934380,38679807581.949997

38862.328337,1623934380,38679807581.949997

38865.314103,1623934440,40054329618.669998

38854.808620,1623934440,40054329618.669998

38845.584982,1623934500,40054329618.669998

38845.781826,1623934500,40054329618.669998

38832.840136,1623934560,40054329618.669998

38829.758679,1623934560,40054329618.669998

38827.741626,1623934620,40054329618.669998

38842.460460,1623934680,40054329618.669998

38840.780170,1623934680,40054329618.669998

38835.837989,1623934680,40054329618.669998

38830.285927,1623934740,40054329618.669998

38834.214060,1623934740,40054329618.669998

38857.335064,1623934800,38007646925.260002

38864.715713,1623934800,38007646925.260002

38868.025562,1623934860,38007646925.260002

38850.753865,1623934920,38007646925.260002

38848.048749,1623934920,38007646925.260002

38843.779548,1623934920,38007646925.260002

38837.021121,1623934980,38521716472.330002

38843.285097,1623934980,38521716472.330002

38856.800980,1623935040,38521716472.330002

38856.800980,1623935040,38521716472.330002

38868.348827,1623935100,38521716472.330002

38863.306811,1623935160,38521716472.330002

38854.962474,1623935160,38521716472.330002

38851.861406,1623935220,38521716472.330002

38850.763716,1623935220,38890093828.839996

38852.048501,1623935220,38890093828.839996

38841.442460,1623935280,38890093828.839996

38836.241116,1623935340,38890093828.839996

38830.498614,1623935340,38890093828.839996

38813.492463,1623935400,38890093828.839996

38801.593581,1623935400,38890093828.839996

38783.108863,1623935400,38890093828.839996

38766.282249,1623935460,38983760132.959999

